iter	Logloss
0	0.6716534668
1	0.6526991565
2	0.6343281313
3	0.6183647471
4	0.6014003412
5	0.5883388933
6	0.5749843089
7	0.5617638936
8	0.5504788397
9	0.5403663309
10	0.5283962142
11	0.5209683286
12	0.511994379
13	0.5042898856
14	0.5005441996
15	0.4928068761
16	0.485423929
17	0.4794785688
18	0.4746411639
19	0.4683327995
20	0.4641514095
21	0.459631527
22	0.4552862504
23	0.4494743265
24	0.445329269
25	0.4403875425
26	0.4365908171
27	0.4344808816
28	0.4312095883
29	0.4276282676
30	0.4233439209
31	0.4213606277
32	0.417616323
33	0.4146281798
34	0.4117963696
35	0.4080110766
36	0.4062633395
37	0.4044618477
38	0.4017425907
39	0.399346297
40	0.3954388271
41	0.3937547552
42	0.3910658895
43	0.3904176312
44	0.3887012605
45	0.3876780564
46	0.3855502682
47	0.3845263645
48	0.3819237201
49	0.3796380506
50	0.3771902786
51	0.3763183115
52	0.3742428432
53	0.3728984771
54	0.3712404113
55	0.3695649313
56	0.3693514422
57	0.3676539377
58	0.3670688462
59	0.3665958899
60	0.365616571
61	0.3647649626
62	0.3633382713
63	0.362324694
64	0.3604823914
65	0.3593927553
66	0.3585640598
67	0.3580096233
68	0.3569004953
69	0.3560265232
70	0.3558352742
71	0.355244983
72	0.353711364
73	0.3533786086
74	0.352781773
75	0.3515544358
76	0.3506641923
77	0.3495752687
78	0.348765299
79	0.3483690694
80	0.3473697265
81	0.3471668209
82	0.3464111637
83	0.3453423075
84	0.3446927892
85	0.3439295882
86	0.3436064476
87	0.3428218854
88	0.3421469354
89	0.3412019302
90	0.3408025927
91	0.3402800043
92	0.3395517166
93	0.3395152347
94	0.3386747609
95	0.3383161223
96	0.3371710977
97	0.3364323667
98	0.3360515644
99	0.33594644
