iter	Passed	Remaining
0	1	116
1	2	115
2	3	113
3	5	131
4	7	138
5	8	132
6	9	127
7	10	123
8	11	120
9	13	117
10	14	115
11	15	112
12	16	110
13	17	109
14	18	105
15	20	105
16	21	104
17	22	103
18	23	101
19	25	100
20	26	98
21	27	97
22	29	98
23	30	96
24	31	94
25	32	93
26	34	92
27	36	92
28	37	91
29	38	89
30	39	88
31	40	86
32	41	85
33	43	83
34	44	82
35	45	80
36	46	79
37	47	78
38	49	76
39	50	76
40	52	75
41	53	73
42	54	72
43	55	70
44	56	69
45	57	68
46	59	66
47	60	65
48	61	63
49	62	62
50	64	61
51	65	60
52	66	59
53	68	58
54	69	56
55	70	55
56	71	53
57	72	52
58	73	51
59	75	50
60	76	48
61	77	47
62	78	46
63	80	45
64	81	44
65	82	42
66	84	41
67	85	40
68	86	38
69	87	37
70	89	36
71	90	35
72	91	33
73	92	32
74	94	31
75	95	30
76	97	28
77	98	27
78	99	26
79	100	25
80	102	23
81	103	22
82	104	21
83	105	20
84	106	18
85	108	17
86	110	16
87	112	15
88	113	14
89	114	12
90	115	11
91	116	10
92	118	8
93	119	7
94	120	6
95	121	5
96	122	3
97	124	2
98	126	1
99	127	0
